Date,Open,High,Low,Close,Adj Close,Volume
1/1/1990,0.314732,0.345982,0.28683,0.303571,0.240748,3747497600
2/1/1990,0.308036,0.314732,0.287946,0.303571,0.240748,2483891200
3/1/1990,0.299107,0.387277,0.296875,0.359375,0.285922,4556473600
4/1/1990,0.357143,0.395089,0.340402,0.351563,0.279706,3642475200
5/1/1990,0.354911,0.381696,0.345982,0.368304,0.293025,4115630400
6/1/1990,0.36942,0.40067,0.334821,0.399554,0.31877,3952054400
7/1/1990,0.397321,0.426339,0.357143,0.375,0.299181,4163812800
8/1/1990,0.375,0.390625,0.299107,0.330357,0.263564,3128339200
9/1/1990,0.325893,0.334821,0.243304,0.258929,0.207202,2206948800
10/1/1990,0.263393,0.285714,0.216518,0.274554,0.219705,5056116800
11/1/1990,0.272321,0.34375,0.265625,0.328125,0.262574,3254608000
12/1/1990,0.332589,0.404018,0.330357,0.383929,0.308257,4094092800
1/1/1991,0.381696,0.5,0.375,0.495536,0.397867,7037307200
2/1/1991,0.495536,0.555804,0.488839,0.511161,0.410412,5545780800
3/1/1991,0.508929,0.627232,0.508929,0.607143,0.488502,5210598400
4/1/1991,0.607143,0.654018,0.486607,0.491071,0.395111,7243051200
5/1/1991,0.428571,0.479911,0.392857,0.419643,0.337641,7972843200
6/1/1991,0.419643,0.441964,0.359375,0.370536,0.298893,4091662400
7/1/1991,0.377232,0.430804,0.372768,0.412946,0.333103,3783494400
8/1/1991,0.410714,0.495536,0.408482,0.473214,0.381718,4172649600
9/1/1991,0.470982,0.477679,0.415179,0.441964,0.357315,2393070400
10/1/1991,0.439732,0.502232,0.415179,0.459821,0.371752,3593990400
11/1/1991,0.457589,0.493304,0.424107,0.453125,0.366338,3696033600
12/1/1991,0.453125,0.517857,0.433036,0.503348,0.407921,2607169600
1/1/1992,0.497768,0.616071,0.495536,0.578125,0.468521,4703160000
2/1/1992,0.578125,0.625,0.551339,0.602679,0.48842,2534996800
3/1/1992,0.604911,0.611607,0.515625,0.520089,0.422276,2985662400
4/1/1992,0.511161,0.546875,0.473214,0.53683,0.435869,3931390400
5/1/1992,0.535714,0.564732,0.520089,0.533482,0.433151,2703724800
6/1/1992,0.511161,0.53125,0.381696,0.428571,0.34797,4851683200
7/1/1992,0.428571,0.441964,0.388393,0.417411,0.339591,3632809600
8/1/1992,0.417411,0.421875,0.370536,0.410714,0.334142,2746531200
9/1/1992,0.412946,0.446429,0.390625,0.402902,0.328668,3055662400
10/1/1992,0.399554,0.482143,0.370536,0.46875,0.382383,3531427200
11/1/1992,0.46875,0.53125,0.459821,0.513393,0.418801,3126547200
12/1/1992,0.511161,0.546875,0.486607,0.533482,0.436114,3334318400
1/1/1993,0.53125,0.582589,0.511161,0.53125,0.43429,5542264000
2/1/1993,0.529018,0.549107,0.459821,0.473214,0.386846,4651281600
3/1/1993,0.473214,0.515625,0.448661,0.459821,0.376717,3661526400
4/1/1993,0.457589,0.46875,0.417411,0.457589,0.374889,3914411200
5/1/1993,0.457589,0.527902,0.455357,0.50558,0.414206,3200545600
6/1/1993,0.504464,0.520089,0.34375,0.352679,0.289543,7674396800
7/1/1993,0.348214,0.354911,0.227679,0.247768,0.203413,7142912000
8/1/1993,0.252232,0.274554,0.231027,0.236607,0.19425,3683164800
9/1/1993,0.236607,0.241071,0.205357,0.208705,0.172097,3668022400
10/1/1993,0.203125,0.287946,0.196429,0.274554,0.226396,5905323200
11/1/1993,0.274554,0.3125,0.265625,0.28125,0.231917,3452108800
12/1/1993,0.285714,0.290179,0.236607,0.261161,0.216126,3956971200
1/1/1994,0.263393,0.314732,0.256696,0.292411,0.241987,7332035200
2/1/1994,0.294643,0.341518,0.287946,0.325893,0.269695,4284459200
3/1/1994,0.328125,0.34375,0.28125,0.296875,0.246564,5257985600
4/1/1994,0.287946,0.305804,0.241071,0.267857,0.222464,4042136000
5/1/1994,0.267857,0.301339,0.254464,0.261161,0.216903,3361657600
6/1/1994,0.254464,0.25558,0.219866,0.236607,0.197286,4671788800
7/1/1994,0.235491,0.303571,0.226563,0.300781,0.250795,4848065600
8/1/1994,0.300223,0.333705,0.28683,0.323103,0.269407,4574897600
9/1/1994,0.315848,0.332589,0.297991,0.300781,0.251663,3232644800
10/1/1994,0.300223,0.390625,0.290179,0.385603,0.322634,7713484800
11/1/1994,0.382813,0.388253,0.324777,0.332589,0.278277,4048945600
12/1/1994,0.330357,0.356027,0.310268,0.348214,0.292227,3787795200
1/1/1995,0.347098,0.429129,0.33817,0.360491,0.30253,8162100800
2/1/1995,0.363839,0.397321,0.339286,0.352679,0.295974,5299347200
3/1/1995,0.354911,0.363839,0.302455,0.314732,0.264854,6997144000
4/1/1995,0.316964,0.353795,0.300223,0.341518,0.287395,5674300800
5/1/1995,0.341518,0.396205,0.334821,0.371094,0.312284,6384672000
6/1/1995,0.373884,0.447545,0.370536,0.414621,0.349881,5521947200
7/1/1995,0.415179,0.445313,0.383929,0.401786,0.33905,5699579200
8/1/1995,0.40067,0.412946,0.373884,0.383929,0.323981,5292918400
9/1/1995,0.383929,0.40625,0.310268,0.332589,0.281424,7311483200
10/1/1995,0.337054,0.353237,0.300223,0.324219,0.274341,6498508800
11/1/1995,0.327009,0.379464,0.316964,0.340402,0.288035,4864294400
12/1/1995,0.339286,0.358259,0.282366,0.284598,0.241566,6560243200
1/1/1996,0.287946,0.316964,0.239816,0.246652,0.209357,10300214400
2/1/1996,0.245536,0.270089,0.243304,0.245536,0.20841,4652099200
3/1/1996,0.246652,0.246652,0.205357,0.219308,0.186148,3346750400
4/1/1996,0.22433,0.236607,0.212054,0.217634,0.184727,2867076800
5/1/1996,0.217634,0.257813,0.209821,0.233259,0.197989,3603902400
6/1/1996,0.231027,0.232143,0.175223,0.1875,0.159149,4673939200
7/1/1996,0.188616,0.203125,0.142857,0.196429,0.166728,4803489600
8/1/1996,0.196429,0.223214,0.185268,0.216518,0.18378,3187374400
9/1/1996,0.215402,0.219866,0.180804,0.198103,0.168149,3213548800
10/1/1996,0.196429,0.247768,0.196429,0.205357,0.174306,5816977600
11/1/1996,0.208705,0.235491,0.206473,0.215402,0.182832,2581364800
12/1/1996,0.215402,0.227679,0.185268,0.186384,0.158202,4147483200
1/1/1997,0.188616,0.198661,0.147321,0.148438,0.125994,9072739200
2/1/1997,0.15067,0.159598,0.135045,0.145089,0.123151,4574169600
3/1/1997,0.147321,0.172991,0.141741,0.162946,0.138308,4502243200
4/1/1997,0.157366,0.177455,0.149554,0.151786,0.128835,3809724800
5/1/1997,0.15067,0.160714,0.146205,0.148438,0.125994,2292707200
6/1/1997,0.151786,0.152902,0.125,0.127232,0.107994,2572304000
7/1/1997,0.124442,0.16183,0.113839,0.15625,0.132624,6782372800
8/1/1997,0.157366,0.263951,0.156808,0.194196,0.164833,17675705600
9/1/1997,0.196429,0.207589,0.1875,0.193638,0.164359,3606075200
10/1/1997,0.193638,0.220982,0.141741,0.152065,0.129072,6430043200
11/1/1997,0.156808,0.191964,0.15067,0.158482,0.134519,5547483200
12/1/1997,0.157924,0.160156,0.113839,0.117188,0.099469,5097792000
1/1/1998,0.121652,0.178571,0.120536,0.163504,0.138782,10211577600
2/1/1998,0.165179,0.21317,0.155134,0.210938,0.179043,7354166400
3/1/1998,0.210379,0.25,0.19308,0.245536,0.20841,10625977600
4/1/1998,0.244978,0.264509,0.220424,0.24442,0.207463,8081886400
5/1/1998,0.245536,0.282366,0.228795,0.237723,0.201778,6803339200
6/1/1998,0.236607,0.258929,0.228795,0.256138,0.217409,3909841600
7/1/1998,0.257813,0.340402,0.254464,0.309152,0.262407,10927660800
8/1/1998,0.305804,0.390625,0.276786,0.27846,0.236356,13220872000
9/1/1998,0.280134,0.358817,0.273438,0.340402,0.288932,8080318400
10/1/1998,0.328125,0.368862,0.254464,0.331473,0.281353,12930926400
11/1/1998,0.334821,0.351563,0.283482,0.285156,0.242039,10123523200
12/1/1998,0.285714,0.370536,0.282366,0.365513,0.310246,12924105600
1/1/1999,0.376116,0.422433,0.330915,0.367746,0.312142,15127403200
2/1/1999,0.37221,0.374442,0.308036,0.310826,0.263828,8116516800
