Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,38702.500000,40552.488281,36938.660156,40552.421875,40552.421875,0
2022-12-01,40552.421875,40759.031250,37324.628906,38073.941406,38073.941406,0
2023-01-01,38073.941406,40859.660156,37622.511719,40724.960938,40724.960938,0
2023-02-01,40724.960938,42003.910156,39432.968750,39704.378906,39704.378906,0
2023-03-01,39704.378906,40733.101563,37776.710938,40708.410156,40708.410156,0
2023-04-01,40708.410156,41222.539063,39928.640625,41064.050781,41064.050781,0
2023-05-01,41064.050781,42200.171875,39864.871094,42053.179688,42053.179688,0
2023-06-01,42471.121094,44965.589844,42471.121094,44883.609375,44883.609375,0
2023-07-01,44883.609375,46570.300781,44132.851563,46450.218750,46450.218750,0
2023-08-01,46450.218750,46450.218750,43693.828125,45468.429688,45468.429688,0
2023-09-01,45468.429688,45836.718750,42732.238281,43249.300781,43249.300781,0
2023-10-01,43249.300781,43325.039063,42912.671875,43174.011719,43174.011719,0
